id,customer_id,order_date,status,total_amount
1,9,2022-01-01 00:00:01,paid,735.32
2,5,2022-01-01 00:00:02,pending,616.68
3,88,2022-01-01 00:00:03,paid,204.89
4,48,2022-01-01 00:00:04,paid,610.21
5,20,2022-01-01 00:00:05,paid,523.31
6,29,2022-01-01 00:00:06,paid,596.61
7,57,2022-01-01 00:00:07,paid,853.85
8,20,2022-01-01 00:00:08,paid,934.58
9,50,2022-01-01 00:00:09,paid,756.49
10,91,2022-01-01 00:00:10,pending,923.31
11,9,2022-01-01 00:00:11,paid,672.30
12,19,2022-01-01 00:00:12,paid,858.68
13,31,2022-01-01 00:00:13,paid,947.51
14,86,2022-01-01 00:00:14,pending,23.90
15,17,2022-01-01 00:00:15,pending,753.77
16,16,2022-01-01 00:00:16,pending,108.93
17,23,2022-01-01 00:00:17,paid,606.31
18,45,2022-01-01 00:00:18,paid,162.54
19,56,2022-01-01 00:00:19,paid,307.17
20,92,2022-01-01 00:00:20,paid,73.23
21,72,2022-01-01 00:00:21,paid,48.33
22,2,2022-01-01 00:00:22,pending,747.51
23,64,2022-01-01 00:00:23,paid,97.79
24,55,2022-01-01 00:00:24,pending,608.54
25,81,2022-01-01 00:00:25,pending,961.47
26,56,2022-01-01 00:00:26,pending,773.15
27,53,2022-01-01 00:00:27,paid,164.74
28,7,2022-01-01 00:00:28,paid,282.18
29,91,2022-01-01 00:00:29,paid,829.69
30,61,2022-01-01 00:00:30,pending,56.72
31,43,2022-01-01 00:00:31,paid,37.53
32,18,2022-01-01 00:00:32,pending,831.89
33,95,2022-01-01 00:00:33,pending,560.66
34,39,2022-01-01 00:00:34,pending,180.48
35,62,2022-01-01 00:00:35,paid,924.28
36,39,2022-01-01 00:00:36,paid,879.87
37,13,2022-01-01 00:00:37,pending,915.31
38,3,2022-01-01 00:00:38,paid,299.01
39,8,2022-01-01 00:00:39,paid,594.41
40,85,2022-01-01 00:00:40,pending,185.96
41,1,2022-01-01 00:00:41,paid,586.77
42,68,2022-01-01 00:00:42,paid,222.01
43,65,2022-01-01 00:00:43,pending,928.38
44,81,2022-01-01 00:00:44,paid,975.07
45,92,2022-01-01 00:00:45,paid,26.55
46,3,2022-01-01 00:00:46,pending,432.65
47,33,2022-01-01 00:00:47,pending,357.12
48,84,2022-01-01 00:00:48,pending,124.08
49,83,2022-01-01 00:00:49,pending,365.38
50,45,2022-01-01 00:00:50,pending,951.80
51,77,2022-01-01 00:00:51,paid,663.77
52,13,2022-01-01 00:00:52,paid,243.31
53,58,2022-01-01 00:00:53,paid,26.61
54,22,2022-01-01 00:00:54,paid,208.06
55,9,2022-01-01 00:00:55,paid,870.60
56,62,2022-01-01 00:00:56,pending,937.75
57,54,2022-01-01 00:00:57,pending,879.65
58,23,2022-01-01 00:00:58,paid,323.93
59,15,2022-01-01 00:00:59,paid,183.41
60,79,2022-01-01 00:01:00,pending,783.16
61,7,2022-01-01 00:01:01,pending,31.17
62,36,2022-01-01 00:01:02,pending,478.19
63,29,2022-01-01 00:01:03,pending,216.40
64,69,2022-01-01 00:01:04,pending,802.29
65,65,2022-01-01 00:01:05,pending,601.71
66,82,2022-01-01 00:01:06,paid,254.70
67,25,2022-01-01 00:01:07,paid,970.03
68,75,2022-01-01 00:01:08,pending,476.29
69,65,2022-01-01 00:01:09,paid,85.39
70,5,2022-01-01 00:01:10,pending,137.72
71,52,2022-01-01 00:01:11,paid,284.43
